t-SNE_1,t-SNE_2,target
-92.38306,-245.91914,0
-323.70813,-45.36106,1
60.170948,-274.2529,0
-160.43553,-32.759182,1
76.61214,-158.41402,0
-266.62296,-61.607265,1
-95.59063,126.915276,1
41.32638,-124.48194,0
-46.102814,270.53976,1
331.40872,-88.011284,0
-231.20964,-44.125248,1
201.70624,170.84412,1
58.94183,220.89388,0
8.021383,-309.4136,0
-25.759872,-193.55437,0
-25.411043,-148.77032,1
-137.66812,146.5204,1
-107.29082,-180.71252,1
-265.83926,110.404655,1
152.99336,-208.92513,1
62.10049,212.76582,0
-54.970764,170.81517,0
133.19751,-65.68066,0
-9.92182,-172.05891,0
182.61082,50.43732,0
186.07135,27.180984,0
-138.39983,-3.4621732,1
187.10197,-120.33062,0
5.2704787,-247.49751,0
-255.5639,39.50761,1
177.95415,90.6853,0
-189.05298,-101.60255,1
-81.62139,114.78703,1
97.12603,-14.128741,1
197.60172,161.09966,1
-149.07858,-151.13521,1
-92.85666,205.87971,1
247.58847,-61.150444,0
269.28177,55.398552,0
92.51172,20.483095,0
-70.51003,226.99371,1
-170.37144,-117.05409,1
-307.05176,-51.259014,1
-14.101679,-296.7593,0
-221.82393,-192.43018,1
317.5058,-114.50721,0
-77.259125,-79.64733,1
109.15509,47.059322,1
46.57668,231.25995,1
-54.624752,104.02408,0
-5.2377925,-58.245014,1
73.43557,99.386246,0
-75.173645,218.45024,1
78.70623,199.35983,1
-20.397549,1.8562938,1
-221.14864,104.26494,1
87.943214,94.3156,1
-101.01485,-96.33689,1
112.49017,-165.60481,0
-55.327023,113.039856,0
-182.77089,-128.83344,1
1.337996,-37.602444,0
-214.48126,118.54484,1
32.896366,196.43703,1
92.37037,-236.60365,0
76.61214,-158.41402,0
112.49017,-165.60481,0
-5.460879,200.66241,1
223.0567,-215.08655,0
229.93787,-88.6345,0
277.69278,-121.97783,0
230.25226,71.37174,0
-128.15154,110.806046,1
-159.35631,236.86597,1
78.70623,199.35983,1
-125.41233,290.81717,1
-19.146294,51.6797,0
-23.604269,-18.670095,1
-113.734375,-142.67436,1
-111.09911,57.349834,1
-149.07858,-151.13521,1
28.809202,244.74814,1
-103.21837,255.50949,1
30.14295,86.14321,1
-276.0593,113.51753,1
276.64456,-174.48062,0
-9.334416,-198.61925,0
-9.334416,-198.61925,0
145.61075,204.77611,0
-214.48126,118.54484,1
-258.28055,67.473526,1
99.42078,251.90715,0
146.66354,-88.06803,0
321.71857,-86.94274,0
200.69629,-5.301722,0
-3.6857026,307.09714,1
-46.813797,239.10786,1
-55.559536,314.26996,1
41.32638,-124.48194,0
-242.39943,-79.47295,1
27.192377,-216.3913,0
-92.85666,205.87971,1
-240.10184,-43.53633,1
148.12376,9.555254,0
-237.48366,45.79152,1
38.23061,-178.90355,0
-163.64723,-71.26891,0
239.89098,-47.091743,0
60.170948,-274.2529,0
-92.38306,-245.91914,0
-3.5969713,266.78983,0
-219.27248,51.402172,1
-277.96005,101.26812,1
-242.39943,-79.47295,1
230.25226,71.37174,0
118.18012,118.44588,0
222.9024,-81.48636,0
265.5556,-135.56847,0
158.6283,-25.131977,0
1.337996,-37.602444,0
250.43507,85.44128,0
-105.39118,-24.945034,1
-346.86508,-54.896908,1
253.65067,76.03563,0
185.34293,-33.687267,0
-140.65991,190.36707,0
-185.56711,-173.88898,1
-233.65901,-114.49654,1
-43.17108,-113.95822,1
301.13342,-167.07492,0
-46.102814,270.53976,1
-117.13783,124.48542,1
-94.17701,105.30753,1
-229.24416,-26.473984,1
80.85027,-84.54342,0
-89.18527,222.94342,1
-5.2377925,-58.245014,1
-68.48058,-293.6233,0
320.27646,59.61784,0
105.026215,147.57648,0
-109.72071,-239.3937,0
151.18665,53.389965,0
297.82617,-10.41484,0
-240.98875,18.090631,1
120.49103,81.96919,1
-258.28055,67.473526,1
-98.74792,73.80903,1
33.47238,-27.101822,1
-192.32227,-245.12108,1
-219.8982,-69.42983,0
301.13342,-167.07492,0
-222.66791,-14.53916,1
8.021383,-309.4136,0
118.961914,109.207146,0
120.49103,81.96919,1
-39.037186,211.7029,1
-155.69762,-55.608837,1
100.69602,-200.6801,1
-20.397549,1.8562938,1
-6.765497,110.713425,0
-131.41566,-227.41673,0
59.903866,-45.63366,0
-124.23857,275.06235,1
-131.74867,97.58106,1
186.07135,27.180984,0
113.60363,54.87736,1
67.06563,63.80849,1
187.70267,86.42858,0
-128.15154,110.806046,1
-3.6857026,307.09714,1
105.026215,147.57648,0
259.9454,-159.77617,0
76.61214,-158.41402,0
-189.00296,-183.74312,1
118.30939,-215.39082,0
29.538239,-69.72444,0
167.99182,-67.94763,0
273.9397,-50.061275,0
247.58847,-61.150444,0
-30.021236,-54.1983,1
-140.65991,190.36707,0
-91.00035,-218.83624,0
-264.30072,9.404144,1
-119.24771,60.105156,1
327.03046,-117.27715,0
56.710236,-213.69347,0
-310.92957,96.69072,1
-58.34716,284.44214,0
157.6194,-153.07224,0
-64.15446,262.58658,1
-105.39118,-24.945034,1
-97.05627,-71.4643,0
-291.6298,-27.818342,1
203.40796,105.492,0
305.4607,-22.39426,1
227.88596,-173.08562,1
151.58829,172.82172,0
-4.780361,180.64758,1
236.77959,-61.976555,0
-55.64342,219.73058,1
185.34293,-33.687267,0
-264.30072,9.404144,1
-61.969105,213.4307,1
118.30939,-215.39082,0
-78.0505,281.73587,1
68.949745,-110.12995,0
-92.38306,-245.91914,0
187.70267,86.42858,0
153.03806,-276.065,0
-98.57456,-44.460587,1
288.38586,-139.97533,0
83.56567,16.068792,0
-46.08627,105.89786,0
153.03806,-276.065,0
243.17566,-185.84883,0
30.498667,9.5184555,1
192.83734,-237.00763,0
174.11188,68.187775,0
-54.67854,234.30212,1
-113.734375,-142.67436,1
71.798416,71.05576,1
-250.7611,19.751478,1
-7.4582715,257.0584,0
-219.27248,51.402172,1
-197.32803,17.200699,1
24.435291,117.93869,1
-64.029945,47.520668,0
